page_downloaded,page_id,page_md5,ice_date_updated,ice_date_as_of_case,ice_date_as_of_case_current,ice_date_as_of_test,ice_date_as_of_pop,ice_page_version
2020-03-30 15:10:00,9653b778aeaf6839f9110111a6578c4d,c7e860b5bb6c931c739e913629d04e21,2020-03-26 23:04:00,,,,,V1
2020-03-30 16:01:00,c146636ee3381cb130b2ee5771e3b389,c7e860b5bb6c931c739e913629d04e21,2020-03-26 23:04:00,,,,,V1
2020-03-30 17:15:00,4c15cd23c963c83be3383dda38b9baf8,c7e860b5bb6c931c739e913629d04e21,2020-03-26 23:04:00,,,,,V1
2020-03-30 18:04:00,d8a8e5b81694f8461f0edaff585a93ab,c7e860b5bb6c931c739e913629d04e21,2020-03-26 23:04:00,,,,,V1
2020-03-30 19:22:00,73b4e634a0c505bf86327ef83debb01d,4071871ebfecfaeeb996f2654061055e,2020-03-30 18:56:00,,,,,V1
2020-03-30 20:00:00,811bdec0930a4e334bea3d8603368bef,4071871ebfecfaeeb996f2654061055e,2020-03-30 18:56:00,,,,,V1
2020-03-30 21:48:00,0d14fa23d8f6d79b9be212468c473164,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-30 22:09:00,05124e741add69778611254761421093,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-30 23:38:00,33a5d29f62e7728bc8c842487a78b766,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 01:06:00,1a3c7cf80032f56c2123d5ef9895c8a8,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 11:16:00,2ffeeacb8d148cc8388d3700cc786ce4,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 12:50:00,3aa595056dc4e8b73224a81a3edb6e5c,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 14:16:00,e499bbf021276b7710740166e1a3f68c,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 15:11:00,76c1cc9b02d74a26ba3db8f5ca8ecbb7,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 16:02:00,38f71700522cc762758417888e785eaa,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 17:10:00,bab9888a0c27b88358e073fad5b6523c,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 18:24:00,2ff7c7c1bc330da78db77cc630868efb,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 19:40:00,9b131505c2ace3b04da94faa7ac6456e,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 20:12:00,c9b1233755724400d02eaed4abdc88ba,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 22:03:00,01e1c0e8dc9006af9217ac8c3c9c0a41,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 22:28:00,d377358db98c3790352d02629d5d9ac9,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-03-31 23:45:00,1b082e9771e495e55fdf07319cca6a63,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-01 02:15:00,e2f2a417ea1b1bf81c3f0f950d5a167a,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-01 11:40:00,fd8e70fd494b88db27b9dd06c9d3587d,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-01 13:35:00,36f589bbcc129b1ab1ae8be0552c0f30,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-01 14:14:00,84abe163f49227694a97facec1d55b8b,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-01 14:31:00,226f46742efcaf2a72b15f1d57100080,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-01 15:37:00,e6c3f360545c74b1617c7e0065de76fc,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-01 16:17:00,52ef7d483fd8ee4d0638a0b6e6d9eb9f,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-01 17:19:00,af1a406f2ccf3d25bb9d82abdf524d9b,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-01 21:12:00,dd68f709966cbe23adeda7bbe730d564,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-01 23:16:00,2cd7173bc453a0d9b4894d4965d97a17,c98ad81617de7b99c84c8051fea0ef2e,2020-03-30 20:55:00,,,,,V1
2020-04-02 01:24:00,bb9d58d22b788cd20ff41b5e15c1e55e,7b30632ae7e44c6d1ca3614135a79dad,2020-03-30 20:55:00,,,,,V1
2020-04-02 11:22:00,430038d25dcb11c3feb02fade92ce7c7,0be6838e5b9651888536e9b2f5b9be40,2020-03-30 20:55:00,,,,,V1
2020-04-02 13:24:00,9b21e659ca363ea2eed3cb636d1d1af9,1bfb88a2ca9199fe8cdf399d13fc6ab4,2020-04-01 23:21:00,,,,,V1
2020-04-02 14:49:00,91b4f64e3a9fd493630af09cec3e8d6e,1bfb88a2ca9199fe8cdf399d13fc6ab4,2020-04-01 23:21:00,,,,,V1
2020-04-02 15:39:00,bfd6a501f7fe09ad2cc426e558b400c9,1bfb88a2ca9199fe8cdf399d13fc6ab4,2020-04-01 23:21:00,,,,,V1
2020-04-04 01:15:00,237c42281abb478092dd6fb108b02da8,ff5a81f4db22888c800badc1e9b5d4b2,2020-04-03 23:46:00,,,,,V1
